Index,Timestamp,Latitude,Longitude,Speed_knots,Distance_nm,ReferencePressure_hPa,50DA_LE_GaugePressure_PSI,50DA_LE_TempC,D8B6_Strut_GaugePressure_PSI,D8B6_Strut_TempC
1,2026-06-30T04:21:37Z,-36.748409,174.753790,0.00,0.00,1027.30,8.57,20.10,8.49,20.20
2,2026-06-30T04:21:38Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
3,2026-06-30T04:21:39Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
4,2026-06-30T04:21:40Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
5,2026-06-30T04:21:41Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
6,2026-06-30T04:21:42Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
7,2026-06-30T04:21:43Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
8,2026-06-30T04:21:44Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
9,2026-06-30T04:21:45Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
10,2026-06-30T04:21:46Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
11,2026-06-30T04:21:47Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
12,2026-06-30T04:21:48Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
13,2026-06-30T04:21:49Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
14,2026-06-30T04:21:50Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
15,2026-06-30T04:21:51Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
16,2026-06-30T04:21:52Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
17,2026-06-30T04:21:53Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
18,2026-06-30T04:21:54Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
19,2026-06-30T04:21:55Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
20,2026-06-30T04:21:56Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
21,2026-06-30T04:21:57Z,-36.748409,174.753850,0.00,0.01,1027.30,8.57,20.10,8.49,20.20
