Index,Timestamp,Latitude,Longitude,Speed_knots,Distance_nm,ReferencePressure_hPa,B7D4_LE_GaugePressure_PSI,B7D4_LE_TempC,1088_Strut_GaugePressure_PSI,1088_Strut_TempC
1,2026-06-30T04:23:06Z,-36.748316,174.753834,0.00,0.00,1028.40,8.56,20.20,8.48,20.30
2,2026-06-30T04:23:07Z,-36.748316,174.753834,0.00,0.00,1028.40,8.56,20.20,8.48,20.30
3,2026-06-30T04:23:08Z,-36.748316,174.753834,0.00,0.00,1028.40,8.56,20.20,8.48,20.30
4,2026-06-30T04:23:09Z,-36.748316,174.753834,0.00,0.00,1028.40,8.56,20.20,8.48,20.30
5,2026-06-30T04:23:10Z,-36.748316,174.753834,0.00,0.00,1028.40,8.56,20.20,8.48,20.30
6,2026-06-30T04:23:11Z,-36.748282,174.753834,0.00,0.01,1028.40,8.56,20.20,8.48,20.30
7,2026-06-30T04:23:12Z,-36.748343,174.753832,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
8,2026-06-30T04:23:13Z,-36.748350,174.753833,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
9,2026-06-30T04:23:14Z,-36.748349,174.753833,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
10,2026-06-30T04:23:15Z,-36.748349,174.753835,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
11,2026-06-30T04:23:16Z,-36.748349,174.753835,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
12,2026-06-30T04:23:17Z,-36.748348,174.753836,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
13,2026-06-30T04:23:18Z,-36.748348,174.753836,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
14,2026-06-30T04:23:19Z,-36.748350,174.753836,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
15,2026-06-30T04:23:20Z,-36.748350,174.753836,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
16,2026-06-30T04:23:21Z,-36.748344,174.753831,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
17,2026-06-30T04:23:22Z,-36.748335,174.753830,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
18,2026-06-30T04:23:23Z,-36.748322,174.753828,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
19,2026-06-30T04:23:24Z,-36.748303,174.753824,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
20,2026-06-30T04:23:25Z,-36.748286,174.753821,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
21,2026-06-30T04:23:26Z,-36.748277,174.753819,0.00,0.02,1028.40,8.56,20.20,8.48,20.30
